Symbol,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
ROST,0,1,0,0,0,0,0,0,0,0,0
RCL,0,1,0,0,0,0,0,0,0,0,0
SPGI,0,0,0,0,1,0,0,0,0,0,0
CRM,0,0,0,0,0,0,0,1,0,0,0
SBAC,0,0,0,0,0,0,0,0,0,1,0
SLB,0,0,0,1,0,0,0,0,0,0,0
STX,0,0,0,0,0,0,0,1,0,0,0
SEE,0,0,0,0,0,0,0,0,1,0,0
SRE,0,0,0,0,0,0,0,0,0,0,1
NOW,0,0,0,0,0,0,0,1,0,0,0
SHW,0,0,0,0,0,0,0,0,1,0,0
SBNY,0,0,0,0,1,0,0,0,0,0,0
SPG,0,0,0,0,0,0,0,0,0,1,0
SWKS,0,0,0,0,0,0,0,1,0,0,0
SJM,0,0,1,0,0,0,0,0,0,0,0
SNA,0,0,0,0,0,0,1,0,0,0,0
SO,0,0,0,0,0,0,0,0,0,0,1
LUV,0,0,0,0,0,0,1,0,0,0,0
SWK,0,0,0,0,0,0,1,0,0,0,0
SBUX,0,1,0,0,0,0,0,0,0,0,0
STT,0,0,0,0,1,0,0,0,0,0,0
STE,0,0,0,0,0,1,0,0,0,0,0
SYK,0,0,0,0,0,1,0,0,0,0,0
SIVB,0,0,0,0,1,0,0,0,0,0,0
SYF,0,0,0,0,1,0,0,0,0,0,0
SNPS,0,0,0,0,0,0,0,1,0,0,0
SYY,0,0,1,0,0,0,0,0,0,0,0
TMUS,1,0,0,0,0,0,0,0,0,0,0
TROW,0,0,0,0,1,0,0,0,0,0,0
TTWO,1,0,0,0,0,0,0,0,0,0,0
TPR,0,1,0,0,0,0,0,0,0,0,0
TRGP,0,0,0,1,0,0,0,0,0,0,0
TGT,0,1,0,0,0,0,0,0,0,0,0
TEL,0,0,0,0,0,0,0,1,0,0,0
TDY,0,0,0,0,0,0,0,1,0,0,0
TFX,0,0,0,0,0,1,0,0,0,0,0
TER,0,0,0,0,0,0,0,1,0,0,0
TSLA,0,1,0,0,0,0,0,0,0,0,0
TXN,0,0,0,0,0,0,0,1,0,0,0
TXT,0,0,0,0,0,0,1,0,0,0,0
TMO,0,0,0,0,0,1,0,0,0,0,0
TJX,0,1,0,0,0,0,0,0,0,0,0
TSCO,0,1,0,0,0,0,0,0,0,0,0
TT,0,0,0,0,0,0,1,0,0,0,0
TDG,0,0,0,0,0,0,1,0,0,0,0
TRV,0,0,0,0,1,0,0,0,0,0,0
TRMB,0,0,0,0,0,0,0,1,0,0,0
TFC,0,0,0,0,1,0,0,0,0,0,0
TYL,0,0,0,0,0,0,0,1,0,0,0
TSN,0,0,1,0,0,0,0,0,0,0,0
USB,0,0,0,0,1,0,0,0,0,0,0
UDR,0,0,0,0,0,0,0,0,0,1,0
ULTA,0,1,0,0,0,0,0,0,0,0,0
UNP,0,0,0,0,0,0,1,0,0,0,0
UAL,0,0,0,0,0,0,1,0,0,0,0
UPS,0,0,0,0,0,0,1,0,0,0,0
URI,0,0,0,0,0,0,1,0,0,0,0
UNH,0,0,0,0,0,1,0,0,0,0,0
UHS,0,0,0,0,0,1,0,0,0,0,0
VLO,0,0,0,1,0,0,0,0,0,0,0
VTR,0,0,0,0,0,0,0,0,0,1,0
VRSN,0,0,0,0,0,0,0,1,0,0,0
VRSK,0,0,0,0,0,0,1,0,0,0,0
VZ,1,0,0,0,0,0,0,0,0,0,0
VRTX,0,0,0,0,0,1,0,0,0,0,0
VFC,0,1,0,0,0,0,0,0,0,0,0
VTRS,0,0,0,0,0,1,0,0,0,0,0
V,0,0,0,0,0,0,0,1,0,0,0
VNO,0,0,0,0,0,0,0,0,0,1,0
VMC,0,0,0,0,0,0,0,0,1,0,0
WAB,0,0,0,0,0,0,1,0,0,0,0
WBA,0,0,1,0,0,0,0,0,0,0,0
WMT,0,0,1,0,0,0,0,0,0,0,0
WBD,1,0,0,0,0,0,0,0,0,0,0
WM,0,0,0,0,0,0,1,0,0,0,0
WAT,0,0,0,0,0,1,0,0,0,0,0
WEC,0,0,0,0,0,0,0,0,0,0,1
WFC,0,0,0,0,1,0,0,0,0,0,0
WELL,0,0,0,0,0,0,0,0,0,1,0
WST,0,0,0,0,0,1,0,0,0,0,0
WDC,0,0,0,0,0,0,0,1,0,0,0
WY,0,0,0,0,0,0,0,0,0,1,0
WHR,0,1,0,0,0,0,0,0,0,0,0
WMB,0,0,0,1,0,0,0,0,0,0,0
WTW,0,0,0,0,1,0,0,0,0,0,0
GWW,0,0,0,0,0,0,1,0,0,0,0
WYNN,0,1,0,0,0,0,0,0,0,0,0
XEL,0,0,0,0,0,0,0,0,0,0,1
XYL,0,0,0,0,0,0,1,0,0,0,0
YUM,0,1,0,0,0,0,0,0,0,0,0
ZBRA,0,0,0,0,0,0,0,1,0,0,0
ZBH,0,0,0,0,0,1,0,0,0,0,0
ZION,0,0,0,0,1,0,0,0,0,0,0
ZTS,0,0,0,0,0,1,0,0,0,0,0
